InternshipPaymentStatusPaidFree
Not done yet



FREE

FREE
FREE
FREE
FREE
FREE
FREE
FREE

FREE
FREE
FREE
FREE
FREE
FREE
FREE
PAID
FREE
FREE

FREE
PAID
No Thanks

FREE
PAID

Not yet
FREE
FREE

FREE
FREE
FREE

FREE
FREE
FREE
FREE


None
FREE
FREE
FREE
No
No

FREE
FREE
FREE
FREE
Nothing
FREE


No
FREE
FREE
FREE

FREE
FREE
FREE
FREE
FREE
FREE

FREE
FREE
FREE
FREE
FREE
PAID
FREE
FREE
PAID
FREE

FREE
FREE

FREE
FREE


FREE
No internship
FREE

FREE
FREE
FREE
FREE
Haven't done any


FREE
FREE
PAID
FREE
FREE
FREE
FREE
FREE
FREE
PAID
PAID
FREE
PAID

PAID
PAID
FREE
FREE

FREE
FREE
FREE
FREE
FREE









PAID
-

PAID
.
FREE
FREE
PAID

FREE
NA
PAID
PAID
PAID
PAID


Did freelance
FREE
Dont take it
PAID

FREE

PAID
No
FREE
FREE
FREE
PAID
FREE

FREE
FREE
No
PAID
Not completed

PAID
FREE
PAID
Not Applicable
FREE
PAID

FREE

PAID

FREE


FREE
PAID

FREE
No internship completed
FREE



FREE
PAID
FREE
PAID
FREE
FREE
FREE



FREE



FREE


FREE
No

FREE
PAID
None
FREE
FREE

NA


PAID
FREE
FREE
PAID
None
FREE

FREE
FREE


FREE
FREE
FREE
PAID
FREE
FREE
FREE
FREE
FREE


FREE
FREE


FREE
FREE

FREE
FREE

FREE
FREE
FREE
FREE
FREE
FREE



FREE
FREE


PAID
FREE

FREE

FREE

FREE



PAID

FREE
FREE
FREE
FREE
FREE
No
FREE
FREE

N/A
NA

FREE
FREE
FREE
FREE
no internship
FREE
FREE
PAID

FREE


Have not completed any internship till now
FREE
FREE
FREE
FREE
No internships
FREE
FREE
No internship yet
FREE
.
Not done yet
FREE

No internship
PAID

FREE
PAID
FREE

FREE
FREE
Not done yet
FREE
FREE
Not done any internship

FREE
PAID
FREE


FREE
No
PAID
FREE
FREE
FREE

PAID
FREE
FREE
FREE
PAID
PAID
I have not done any internship


FREE
FREE
FREE
PAID
No internships done
FREE
Na
No
FREE
FREE
Not complete any internship
PAID
FREE

FREE
FREE
FREE
No any internship
PAID

No
FREE

FREE

FREE
No
Not did yet!
FREE
FREE
Don't know

FREE
FREE
FREE
FREE
Not completed any internship
PAID
FREE

No

No internship
FREE
FREE
FREE
FREE
No internship
FREE
FREE
Free and paid both
PAID
No
FREE
FREE
PAID
PAID
FREE
PAID

Not done internship
PAID
PAID
PAID
FREE
FREE
PAID
FREE
FREE


FREE



FREE


PAID
FREE

FREE
PAID



FREE
NA

FREE
No
FREE
FREE
PAID
FREE
FREE
FREE

FREE
PAID
NA
FREE
PAID
FREE
FREE
FREE
FREE

Not attained
FREE


PAID
FREE
FREE
No
FREE
PAID
FREE


PAID
FREE

FREE
FREE
FREE



FREE
Na
PAID
Don't no
PAID
FREE
Dihadi
FREE
PAID
FREE

FREE
FREE
FREE
FREE
FREE
FREE
FREE
FREE
No
FREE
FREE
FREE
FREE
FREE

FREE

FREE
PAID
No
PAID
PAID
PAID
Industrial Training
FREE
Registration charges only
FREE
PAID
No
FREE

PAID
I haven't completed any internship.
PAID
FREE
FREE
No internship
FREE
PAID
PAID
PAID
FREE
PAID
FREE
I have not complete any internship till today i have applied for internship


PAID
FREE
FREE
PAID
FREE
PAID
Not yet

None

FREE
FREE
No
FREE

PAID
FREE
PAID
FREE
FREE
FREE
Netleap IT training and solutions
FREE
PAID
PAID
FREE
FREE
PAID
FREE
FREE
No
FREE
Netleap IT Training and Solutions
FREE
PAID
PAID
PAID
PAID
Not completed
FREE
PAID
PAID
FREE
FREE
PAID
FREE
FREE
PAID
FREE


FREE
No
FREE
PAID
PAID
FREE
PAID
FREE
Stipend

No
PAID
FREE
PAID
PAID
FREE
..
Not done
Not completed
FREE
PAID
PAID
PAID
FREE
FREE
FREE
FREE
FREE
FREE
FREE
FREE

No internships
FREE
FREE
FREE
PAID
FREE
FREE
FREE
FREE
FREE
PAID

FREE
FREE

FREE

FREE

PAID
FREE
PAID
FREE
FREE
FREE
FREE

FREE
FREE

FREE

PAID


Not done yet
FREE
FREE
FREE
FREE

INTERSHIP NOT STARTED

FREE

FREE
No
FREE
FREE
FREE
Not yet


FREE
FREE
FREE
FREE
FREE
FREE
FREE
FREE
No
FREE
PAID
PAID
FREE
Not yet
FREE
FREE
FREE
PAID
FREE
Na
FREE

FREE
Not applicable
FREE
FREE

FREE
FREE

FREE

FREE


FREE
FREE
FREE


FREE

FREE
FREE
FREE

NA

FREE
NA
FREE
FREE
FREE

FREE

FREE
PAID

FREE
FREE
FREE
FREE


FREE
FREE
PAID
PAID
FREE
FREE
PAID

FREE


PAID
FREE
PAID
not done intenship

FREE
No internship


No complete
FREE

FREE
FREE

PAID




FREE


Mili he nhi


FREE



PAID

FREE


No internship till now
FREE
FREE

